Sell/Rent,Sharing,Product/Service,Consent,Exceptions,Subsidiary,Receiving party,Company,,,,
Not Sell,Limited sharing,,Y,Y,,Third parties,Crunch ,,,shareforexceptionandconsent,"We do not share, rent, sell, or otherwise use any personal information you have given us to any third party without your permission, except when required by law, subpoena or other legal process or in order to protect the safety of the public. "
N/A,Limited sharing,,Y,Y,,Third parties,One-class SVM,,,shareforexceptionandconsent,"Except as described in this Privacy Policy or at the time we request the information, we do not otherwise use, share or otherwise disclose your personally identifiable information to any third parties."
N/A,Limited sharing,,Y,Y,,Third parties,IGN,,,shareforexceptionandconsent,We only share your non-public personal information with non-affiliated third parties when we believe sharing is permitted by you or authorized by this Privacy Policy. 
Not Sell,Limited sharing,Y,,Y,,Third parties,JobStreet,,,shareforexceptionandconsent,"JobStreet.com does not sell, rent or share your personal information with other people or non-affiliated third parties except to provide you with the products or services you have requested or under these circumstances"
Not Sell,Limited sharing,,Y,Y,,Third parties,Travelzoo,,,shareforexceptionandconsent,"Travelzoo does not rent or sell personal information about you with third parties, however, we reserve the right to share the personal information we collect about you through our Services with third parties when we have your permission or under the circumstances described below."
,,,,,,,,,,,
N/A,Limited sharing,,,Y,Y,Subsidiary & Third parties,Amazon,,,shareforexception,"We share customer information only as described below and with subsidiaries Amazon.com, Inc. controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice"
N/A,Limited sharing,,,Y,Y,Subsidiary & Third parties,Alexa,,,shareforexception,"We share Alexa user data with our parent corporation, Amazon.com, Inc., and the subsidiaries it controls, and we may share personally identifying information with third parties only as described below."
N/A,Limited sharing,,,Y,,Third parties,Google,,,shareforexception,Google only shares personal information with other companies or individuals outside of Google in the following limited circumstances
Not Sell,Limited sharing,,,Y,,Third parties,Nokia,,,shareforexception,"We do not sell, lease, rent or otherwise disclose your personal data to third parties unless otherwise stated below"
N/A,Limited sharing,,,Y,,All,RealNetworks,,,shareforexception,RealNetworks does not use your personal information for purposes incompatible with those listed above. 
N/A,Limited sharing,,,Y,,All,Commission Junction,,,shareforexception,Commission Junction will only share your Information for the limited purposes provided for in this Privacy Policy
N/A,Limited sharing,,,Y,,Third parties,Zynga,,,shareforexception,"We will share your information (in some cases personal information) with third parties, that is parties other than Zynga, in the following circumstances"
N/A,Limited sharing,,,Y,,All,2CO,,,shareforexception,"2CO only shares information as described in this Privacy Statement, When we are required or permitted to disclose information, we will not disclose more information than is necessary to fulfill the disclosure purpose"
N/A,Limited sharing,,,Y,,Third parties,T-mobile,,,shareforexception,"We may, however, disclose your personal information to unaffiliated third-parties as follows"
N/A,Limited sharing,,,Y,,Third parties,Ning,,,shareforexception,We do not share Personal Information with third parties except in the limited circumstances described in this Privacy Policy
Not Sell,Limited sharing,,,Y,,Third parties,Linkedin,,,shareforexception,"LinkedIn takes the privacy of our Users very seriously, and we do not sell, rent, or otherwise provide your personally identifiable information to third parties, except as described in this policy"
N/A,Limited sharing,,,Y,,All,One-class SVM,,,shareforexception,We share your personal information only as described below.
N/A,Limited sharing,,,Y,,All,OWN,,,shareforexception,"We may share the information we have collected about you, including Personal Information, as disclosed at the time you provide your information and as described below or otherwise in this Privacy Policy."
N/A,Limited sharing,,,Y,,Third parties,One-class SVM 1 par1,,,shareforexception,We will share your personal information with third parties only in the ways that are described in this privacy statement.
N/A,Limited sharing,,,Y,,Third parties,One-class SVM 2 par2,,,shareforexception,We share personally identifiable customer information with unaffiliated third parties only as described herein.
,,,,,,,,,,,
N/A,No limit stated,,,,,Subsidiary,Fox,,,nolimitshare,"In addition, FOX may share your personal information with Affiliated Companies"
N/A,No limit stated,,,,,Subsidiary,IGN,,,nolimitshare,"In addition, IGN may share your personal information with Affiliated Companies."
N/A,No limit stated,,,,,Third parties,Yelp,,,nolimitshare,"That said, we work with third parties and they may have access to some of your information"
N/A,No limit stated,,,,,Third parties,One-class SVM,,,nolimitshare,We may disclose your personal information to third parties
,,,,,,,,,,,
Sell unless opt-out,Share unless opt-out,,,,,Third parties,One-class SVM,,,sellshare,"Unless you have opted out where available, we may rent, sell, or share any of your information, personal or otherwise, with third parties, including without limitation for the following purposes:"
Sell unless opt-out,Share unless opt-out,,,,,Third parties,TelMasters ,,,sellshare,"Unless you have opted out, we may rent, sell, or share any of your information, personal or otherwise, with third parties, including without limitation for the following purposes"
Sell,Share,,,,,Third parties,creditcards.org,,,sellshare,"Unless we have otherwise indicated, we may rent, sell, or share any of your information, personal or otherwise, with third parties, including without limitation for the following purposes"
Sell,Share,,,,,Third parties,clickspeed,,,sellshare,"We reserve the right to share, rent, sell, or otherwise disclose data we collect to third parties"
Sell,Share,,,,,Third parties,GetMyHomesValue,,,sellshare,"We reserve the right to share, rent, sell, or otherwise disclose personal information we collect about you to third parties for marketing products and services which we determine, in our sole judgment, that you might find of interest ."
